"University of Iowa	",n
"University of Judaism	",n
"University of Kansas	",n
"University of Kentucky	",n
"University of La Verne	",n
"University of Louisville	",n
"University of Maine	",n
"University of Maryland--Baltimore County	",n
"University of Maryland--College Park	",n
"University of Massachusetts--Amherst	",n
"University of Massachusetts--Boston	",n
"University of Massachusetts--Dartmouth	",n
"University of Massachusetts--Lowell	",n
"University of Miami	",n
"University of Michigan--Ann Arbor	",n
"University of Minnesota-Morris	",n
"University of Minnesota--Twin Cities	",n
"University of Mississippi	",n
"University of Missouri	",n
"University of Missouri--Kansas City	",n
"University of Missouri--St. Louis	",n
"University of Montana	",n
"University of Nebraska--Lincoln	",n
"University of Nevada--Reno	",n
"University of New Hampshire	",n
"University of New Mexico	",n
"University of North Carolina at Asheville	",n
"University of North Carolina--Chapel Hill	",n
"University of North Carolina--Charlotte	",n
"University of North Carolina--Greensboro	",n
"University of North Dakota	",n
"University of Notre Dame	",y
"University of Oklahoma	",n
"University of Oregon	",n
"University of Pennsylvania	",y
"University of Pittsburgh	",n
"University of Puerto Rico-Cayey University College	",n
"University of Puget Sound	",n
"University of Rhode Island	",n
"University of Rochester	",n
"University of San Diego	",n
"University of San Francisco	",n
"University of South Carolina	",n
"University of South Dakota	",n
"University of South Florida	",n
"University of Southern California	",y
"University of Southern Mississippi	",n
"University of St. Thomas	",n
"University of Tennessee	",n
"University of Texas--Austin	",n
"University of Texas--Dallas	",n
"University of the Pacific	",n
"University of the South	",n
"University of Tulsa	",n
"University of Utah	",n
"University of Vermont	",n
"University of Virginia	",y
"University of Washington	",n
"University of Wisconsin--Madison	",n
"University of Wyoming	",n
"Ursinus College	",n
"Utah State University	",n
"Vanderbilt University	",y
"Vassar College	",n
"Villanova University	",n
"Virginia Commonwealth University	",n
"Virginia Military Institute	",n
"Virginia Tech	",n
"Virginia Wesleyan College	",n
"Wabash College	",n
"Wake Forest University	",n
"Washington and Jefferson College	",n
"Washington and Lee University	",n
"Washington College	",n
"Washington State University	",n
"Washington University in St. Louis	",y
"Wellesley College	",n
"Wells College	",n
"Wesleyan College	",y
"Wesleyan University	",n
"West Virginia University	",n
"Western Maryland College	",n
"Western Michigan University	",n
"Westminster College	",n
"Westminster College	",n
"Westmont College	",n
"Wheaton College	",n
"Wheaton College	",n
"Whitman College	",n
"Whittier College	",n
"Widener University	",n
"Willamette University	",n
"William Jewell College	",n
"Williams College	",y
"Wittenberg University	",n
"Wofford College	",n
"Worcester Polytechnic Institute	",n
"Yale University	",y
"Yeshiva University	",n
