abbrev,name,type,description,website
sti,Stifel Financial,mm,Regional Investment Bank – Boutique,http://www2.stifel.com/site/content.aspx?id=200
sfc,"Sucsy, Fischer & Company",bo,Regional M&A Advisory – Boutique,http://www.sfco.com/
smf,Sumitomo Mitsui Financial Group,in,Global Investment Bank (Japan focused),http://www.smfg.co.jp/english/aboutus/profile/
sun,SunTrust (Robinson Humphrey),mm,Regional Investment Bank – Boutique,https://www.suntrustrh.com/
tds,TD Securities,mm,North American Investment Bank – Boutique,http://www.tdsecurities.com/tds/content/IB_InvestmentBanking?language=en_CA
ubs,UBS,bb,Global Investment Bank,http://www.ubs.com/us/en.html
vmp,Vermillion Partners,in,China M&A Advisory – Boutique,http://www.vermilion-partners.com/
wbs,Wedbush Securities,bo,Regional Investment Bank – Boutique,http://www.wedbush.com/
wfc,Wells Fargo & Co.,mm,Global Investment Bank,https://www.wellsfargo.com/com/securities/investment-banking
wbc,William Blair & Company,mm,Global Investment Bank – Boutique,http://www.williamblair.com/en.aspx
wrh,WR Hambrecht & Co.,bo,U.S. Investment Bank – Boutique,http://www.wrhambrecht.com/index.html
zig,Ziegler,mm,Regional Investment Bank – Boutique,https://www.ziegler.com/
